nome;categoria;avaliacao;duracao
Piratas do Caribe 3;Aventura;7.1;2.48
Piratas do Caribe 2;Aventura;7.4;2.31
Piratas do Caribe 3;Aventura;7.1;2.48
Piratas do Caribe 4;Aventura;6.6;2.21
Piratas do Caribe 1;Aventura;8.1;2.23
Todo mundo em Pânico;Comêdia;6.3;1.28
Todo mundo em Pânico 2;Comêdia;5.4;1.23
Todo mundo em Pânico 5;Comêdia;3.6;1.26
Todo mundo em Pânico 4;Comêdia;5.1;1.31
Todo munco em Pânico 3;Comêdia;5.5;1.24
Velozes e Furiosos 10;Ação;5.7;2.21
Velozes e Furiosos 2 ;Ação;5.9;1.47
Velozes e Furiosos 7;Ação;7.1;2.20
Velozes e Furiosos 4;Ação;6.5;1.47
Velozes e Furiosos 5;Ação;7.3;2.10
Velozes e Furiosos 6;Ação;7.0;2.10
Velozes e Furiosos 3;Ação;6.1;1.44
Velozes e Furiosos 8;Ação;6.6;2.16
Velozes e Furiosos 9;Ação;5.2;2.23
Velozes e Furiosos;Ação;6.8;1.46
Barraca do Beijo 1;Romance;5.9;1.45
Barraca do Beijo 2;romance;5.7;2.11
Barraca do Beijo 3;romance;4.8;1.52
A dama e o Vagabundo;Infantil;6.2;1.16
A casa Mostro;Infantil;6.7;1.31
Mulan ;Infantil;7.7;1.28
Pixel;Comedia ;5.6;1.45
Castelo Animado;Fantasia;8.2;1.59
A Viagem de Chihiro;Fantasia;8.6;2.5
